code_ins,date_debut,date_fin,nom_officiel_rn,nom_unique_etnic,actif
24037,1/01/1830,31/12/1970,HELEN-BOS,Helen-Bos,N
24038,1/01/0001,,HERENT,Herent,O
24039,1/01/1830,31/12/1976,HEVER,Hever,N
24040,1/01/1830,31/12/1976,HEVERLEE,Heverlee,N
24041,1/01/0001,,HOEGAARDEN,Hoegaarden,O
24042,1/01/1830,31/12/1976,HOELEDEN,Hoeleden,N
24043,1/01/0001,,HOLSBEEK,Holsbeek,O
24044,1/01/1830,31/12/1976,HOUWAART,Houwaart,N
24045,1/01/0001,,HULDENBERG,Huldenberg,O
24046,1/01/1922,31/12/1976,KAGGEVINNE,Kaggevinne,N
